僲	亻 覀 舛
𥡽	禾 ⺈ 𠃊 目 夂 
𥢇	禾 艹 束 
𥢊	禾 賁 
𥢌	禾 番 
𥢍	禾 辜 
𥢎	禾 尊 
𥢏	禾 覃 
𥢐	禾 臯 
𥢑	𮂱 咎 
𥢒	禾 勞 
𥢔	禾 尤 卓 
𥢟	禾 古 芊 
𥢢	禾 貴 
𥢦	禾 夂 田 灬 
𥢧	禾 戠 
𥢮	士 双 秝 
𥢲	秝 成 
𥢶	禾 會 
𥢷	禾 當 
𥢸	禾 葛 
𥢹	禾 敫 
𥢻	禾 禁 
𥢽	禾 粲 
𥣆	禾 㚘 禾 
𥣈	禾 業 
𥣋	禾 蜀 
𥣌	禾 山 用 用 
𥣗	禾 寧 
𥣘	禾 厭 
𥣙	禾 聚 
𥣛	禾 蒙 
𥣝	禾 扁 禾 
𥣤	秝 泉 
𥣥	𥝢 桼 
𥣩	禾 𢧵 
𥣫	禾 蔑 
𥣬	禾 畾 
𥣮	禾 節 
𥣯	禾 憂 
𥣰	禾 臱 
𥣱	禾 來 一 回 
𥣸	秝 大 豆 
𥣹	禾 𤎉 
𥣺	禾 𠔥 土 
𥤂	禾 褭 
𥤊	禾 雚 
𥤋	聶 禾 
𥤐	禾 壘 
𥤗	禾 黨 
𥤘	禾 矍 
𥤜	禾 蘦 
𥤞	禾 靈 
𥤟	禾 鹽 
𥤡	驫 禾 
𥤣	穴 了 
𥤤	穴 几 
𥤥	穴 七 
𥤦	穴 又 
𥤨	穴 女 
𥤩	穴 亡 
𥤱	穴 干 
𥤳	穴 乆 
𥤴	穴 开 
𥤵	穴 丏 
𥤷	穴 冘 
𥤸	穴 元 
𥤹	穴 爻 
𥤺	穴 手 
𥤻	穴 比 
𥤼	穴 水 
𥥅	穴 孔 
𥥈	穴 弘 
𥥊	穴 皿 
𥥋	穴 令 
𥥌	穴 失 
𥥍	穴 𡗜 
𥥛	穴 犮 
𥥝	穴 用 
𥥟	穴 瓦 
𥥠	穴 危 
𥥡	穴 共 
𥥥	穴 吏 
𥥧	穴 老 
𥥩	穴 向 
𥥱	穴 死 
𥥳	穴 舟 
𥥴	穴 衣 
𥥵	穴 羊 
𥥶	穴 廷 
𥥷	穴 豆 
𥥸	穴 余 
𥥹	穴 丣 
𥥻	穴 巠 
𥥽	穴 求 
𥥾	穴 肙 
𥥿	穴 夕 火 
𥦀	穴 見 
𥦁	穴 甬 
𥦃	穴 杘 
𥦅	穴 𨙺 
𥦊	穴 坐 
𥦌	穴 弄 
𥦍	穴 㫒 
𥦔	穴 坎 
𥦖	穴 呌 
𥦗	穴 𢗀 
𥦘	穴 孚 
𥦜	穴 朋 
𥦝	穴 林 
𥦞	穴 臤 
𥦟	穴 典 
𥦢	穴 邪 
𥦥	穴 𠈣 
𥦨	穴 金 
𥦶	臽 穴 
𥦷	穴 泓 
𥦿	穴 恄 
𥧂	穴 贡 刂 
𥧆	穴 禺 
𥧇	穴 科 
𥧋	穴 屏 
𥧑	穴 眞 
𥧒	穴 冓 
𥧓	穴 馬 
𥧔	穴 氣 
𥧕	穴 流 
𥧙	穴 𬂧 
𥧚	穴 女 坐 
𥧡	穴 貢 
𥧣	穴 茶 
𥧤	穴 日 尖 
𥧦	穴 悎 
𥧧	穴 𥁑 
𥧫	穴 郎 
𥧬	穴 堅 
𥧭	穴 曼 
𥧮	穴 啇 
𥧰	穴 瓠 
𥧱	穴 庸 
𥧲	穴 㴆 
𥧴	穴 𱞩 
𥧷	穴 牜 呆 
𥧻	穴 𠁅 
𥨉	穴 爿 言 
𥨌	穴 畱 
𥨍	穴 復 
𥨎	穴 覃 
𥨐	穴 𠞖 
𥨒	穴 𠭥 
𥨕	穴 惺 
𥨜	弆 突 
𥨝	穴 彳 叜 
𥨪	䆤 邑 
𥨳	穴 耳 革 
𥨻	穴 歷 
𥨿	穴 激 
𥩀	穴 橐 
𥩓	穴 龷 米 ⺊ 𠔿 冋 
𥩔	穴 靈 
𥩖	立 卜 
𥩗	立 兀 
𥩙	立 巴 
𥩝	立 手 
𥩡	立 戉 
𥩢	立 且 
𥩣	立 主 
𥩤	立 可 
𥩮	立 句 
𥩱	立 伐 
𥩲	立 亥 
𥪀	立 甫 
𥪁	立 甹 
𥪂	立 夾 
𥪊	立 屈 
𥪋	立 彔 
𥪌	立 忝 
𥪍	立 委 
𥪏	立 取 
𥪘	立 甚 
𥪚	立 复 
𥪢	童 八 
𥪦	立 奚 
𥪧	立 眞 
𥪫	立 茤 
𥪯	立 堯 
𥪱	旋 立 
𥪴	章 夅 
𥪵	臿 妾 
𥪻	耳 尢 彡 立 
𥪼	竒 竒 
𥫀	立 𬴳 
𥫂	旬 童 
𥫃	立 義 
𥫅	糹 昌 立 
𥫋	𰄔 竝 
𥫎	童 貟 
𥫔	𥪴 貝 
𥫖	章 吅 㸚 
𥫙	竹 丁 
𥫛	竹 厶 
𥫜	竹 乂 
𥫝	竹 弋 
𥫞	竹 子 
𥫟	竹 己 
𥫢	竹 叉 
𥫯	竹 中 
𥫰	竹 六 
𥫱	竹 屯 
𥫳	竹 方 
𥫴	竹 巿 
𥫵	竹 太 
𥫶	竹 亓 
𥫷	竹 勼 
𥫸	竹 水 
𥫹	竹 冘 
𥫼	竹 丹 
𥫽	竹 氏 
𥬀	竹 云 
𥬆	竹 井 
𥬈	竹 从 
𥬉	竹 勾 
𥬍	竹 仙 
𥬎	竹 末 
𥬐	竹 申 
𥬒	竹 犮 
𥬓	竹 幼 
𥬔	竹 去 
𥬕	竹 冉 
𥬙	竹 巨 
𥬜	竹 勹 匕 
𥬝	竹 白 
𥬞	竹 尔 
𥬠	竹 刍 
𥬪	竹 戎 
𥬫	竹 舛 
𥬬	竹 帇 
𥬭	竹 列 
𥬮	竹 江 
𥬯	竹 考 
𥬰	竹 𠕋 
𥬱	竹 充 
𥬲	竹 朵 
𥬳	竹 此 
𥬴	竹 羊 
𥬼	竹 刎 
𥭋	竹 多 
𥭌	竹 宅 
𥭐	竹 寽 
𥭑	竹 求 
𥭒	竹 囤 
𥭓	竹 灼 
𥭔	竹 占 刂 
𥭖	竹 ⺼ 勺 
𥭘	竹 希 
𥭙	竹 耳 乚 
𥭚	竹 吂 
𥭜	竹 忌 
𥭝	竹 妙 
𥭞	竹 肙 
𥭟	竹 夋 
𥭠	竹 吾 
𥭡	竹 志 
𥭢	竹 甹 
𥭥	竹 䖝 
𥭫	竹 卩 尔 
𥭬	竹 𦘴 
𥭭	竹 坐 
𥭮	竹 囧 
𥮍	竹 㸒 
𥮎	𥫠 犬 
𥮏	竹 典 
𥮐	竹 周 
𥮒	竹 沾 
𥮕	竹 杭 
𥮖	竹 直 
𥮗	竹 匊 
𥮘	竹 念 
𥮚	竹 𠛹 
𥮜	竹 弥 
𥮝	竹 屈 
𥮣	竹 𦊋 
𥮤	竹 隶 
𥮥	竹 析 
𥮧	竹 𣏋 
𥮨	竹 忩 
𥮪	竹 𦙃 
𥮬	竹 易 
𥮯	符 大 
𥮾	竹 参 
𥯃	竹 奄 
𥯑	竹 垔 
𥯔	竹 禹 
𥯕	竹 昜 
𥯖	竹 度 
𥯘	竹 耶 
𥯙	竹 勁 
𥯚	竹 恪 
𥯛	竹 洛 
𥯜	竹 畏 
𥯝	竹 突 
𥯞	竹 斿 
𥯟	竹 拜 
𥯡	竹 毗 
𥯢	竹 亭 
𥯣	竹 𠔿 戍 
𥯤	竹 韋 
𥯥	竹 臿 
𥯦	竹 建 
𥯨	竹 思 
𥯩	竹 斫 
𥯪	竹 奏 
𥯬	竹 耎 
𥯮	竹 臾 
𥯳	竹 咢 
𥯶	竹 苦 
𥯸	竹 柱 
𥯾	竹 宀 ⾆ 
𥰛	竹 浮 
𥰜	竹 桃 
𥰝	竹 息 
𥰞	竹 叟 
𥰟	竹 袁 
𥰠	竹 旅 
𥰡	竹 敇 
𥰢	竹 扇 
𥰣	竹 留 
𥰥	竹 奚 
𥰦	竹 屐 
𥰧	竹 倚 
𥰨	竹 剡 
𥰪	竹 挐 
𥰫	筴 口 
𥰭	竹 差 
𥰮	竹 哿 
𥰰	筮 廾 
𥰱	竹 蚤 
𥰲	竹 烘 
𥰳	竹 𮜿 
𥰶	竹 害 
𥰻	竹 旲 口 
𥰼	竹 索 
𥰾	竹 窄 
𥱀	竹 洿 
𥱁	竹 冏 大 
𥱃	竹 𨓜 
𥱒	竹 氵 巫 
𥱧	竹 秦 
𥱨	竹 素 
𥱵	竹 習 
𥱶	竹 爽 
𥱷	竹 貪 
𥱹	竹 莫 
𥱻	竹 途 
𥱼	竹 氵 卑 
𥱽	竹 圈 
𥲀	竹 巢 
𥲁	竹 而 瓦 
𥲂	竹 氵 幷 
𥲃	竹 寇 
𥲄	竹 淡 
𥲅	竹 𠃬 心 
𥲆	竹 通 
𥲇	竹 身 冘 
𥲈	竹 㒼 
𥲉	竹 虖 
𥲊	竹 聊 
𥲋	竹 衒 
𥲍	竹 曹 
𥲎	竹 陸 
𥲏	竹 㫒 殳 
𥲐	竹 梧 
𥲑	竹 曼 
𥲕	竹 紫 
𥲗	竹 䧑 
𥲚	竹 淙 
𥲛	竹 紨 
𥲜	竹 虍 皿 
𥲝	竹 ⺕ ⺕ 皮 
𥲟	竹 釣 
𥲠	竹 望 
𥲡	竹 穴 厶 心 
𥲢	竹 囗 林 
𥲣	竹 貝 斤 
𥲥	竹 盒 
𥲦	竹 覀 𡗜 
𥲧	竹 梨 
𥲪	竹 𠩺 
𥲽	辶 𥭭 
𥳆	竹 敝 
𥳇	竹 復 
𥳈	竹 毳 
𥳉	竹 都 
𥳋	竹 叅 
𥳌	竹 隆 
𥳍	竹 尋 
𥳎	筑 虫 
𥳏	竹 幾 
𥳐	竹 開 
𥳒	竹 減 
𥳓	竹 稍 
𥳔	竹 隋 
𥳕	竹 舒 
𥳖	竹 棓 
𥳗	竹 須 
𥳘	竹 童 
𥳚	竹 然 
𥳜	竹 陽 
𥳝	竹 惢 
𥳞	竹 粦 
𥳟	竹 進 
𥳠	竹 𨔛 
𥳡	竹 賁 
𥳢	竹 奠 
𥳣	竹 最 
𥳥	竹 甯 
𥳪	辶 算 
𥳫	竹 典 月 
𥳬	竹 黑 
𥳯	竹 棤 
𥳰	竹 尊 
𥳱	竹 兟 
𥳲	竹 ⻖ 昱 
𥳳	竹 提 
𥳴	竹 殽 
𥳵	竹 絕 
𥳶	竹 掌 
𥳷	竹 湔 
𥳸	竹 仝 見 
𥳹	竹 仝 貝 
𥳺	竹 揔 
𥳽	竹 欺 
𥴐	竹 㠭 
𥴑	竹 酉 生 
𥴕	竹 猶 
𥴖	竹 椑 
𥴡	竹 豊 
𥴤	竹 腱 
𥴦	竹 遂 
𥴧	竹 豦 
𥴨	竹 愛 
𥴩	竹 隔 
𥴪	竹 遇 
𥴫	竹 殿 
𥴬	竹 辟 
𥴭	竹 楬 
𥴮	竹 搏 
𥴯	竹 廆 
𥴱	竹 廌 
𥴴	竹 鉤 
𥴵	竹 旲 虫 
𥴺	竹 慈 
𥴻	竹 搶 
𥵒	竹 日 冖 見 
𥵜	竹 僕 
𥵝	竹 領 
𥵞	竹 截 
𥵟	竹 署 
𥵠	竹 穀 
𥵣	竹 端 
𥵤	竹 綽 
𥵦	竹 𨲆 
𥵧	竹 盡 
𥵨	竹 臱 
𥵪	竹 竮 
𥵫	竹 聚 
𥵬	竹 廖 
𥵯	竹 𬺻 疌 
𥵶	竹 典 ⾆ 
𥶅	竹 氵 畱 
𥶆	竹 閭 
𥶇	竹 魯 
𥶈	竹 皺 
𥶌	竹 慮 
𥶍	竹 緩 
𥶏	竹 調 
𥶐	竹 隤 
𥶑	竹 養 
𥶒	竹 炎 舛 
𥶓	竹 罷 
𥶔	竹 麃 
𥶕	竹 戶 比 舌 
𥶗	竹 𠤕 籴 
𥶛	竹 踶 
𥶜	竹 嫴 
𥶢	竹 巛 龱 ⺇ 氺 
𥶵	竹 毇 
𥶶	竹 幸 匊 
𥶷	竹 選 
𥶹	竹 靜 
𥶺	箕 𣏋 
𥶻	竹 隨 
𥶽	竹 衞 
𥶿	竹 閻 
𥷀	竹 燕 
𥷁	竹 辦 
𥷃	竹 槳 
𥷄	竹 𠆢 爾 
𥷅	竹 㷴 
𥷆	竹 縠 
𥷇	竹 器 
𥷈	竹 橦 
𥷑	箴 角 
𥷔	竹 輿 
𥷕	竹 其 枼 
𥷖	竹 甐 
𥷗	竹 隸 
𥷘	竹 擢 
𥷙	竹 罽 
𥷚	竹 幸 訇 
𥷜	竹 隹 風 
𥷨	竹 聶 
𥷩	竹 雜 
𥷪	竹 扌 𢦏 韭 
𥷫	竹 黠 
𥷬	竹 雚 
𥷮	竹 爵 
𥷱	竹 覆 
𥷼	竹 就 足 
𥸅	竹 𨘢 
𥸈	竹 黨 
𥸉	籠 木 
𥸊	竹 豙 頁 
𥸗	竹 灑 
𥸘	竹 氵 矍 
𥸚	竹 覿 
𥸡	竹 贛 
𥸢	竹 蠶 
𥸣	竹 黵 
𥸤	籥 頁 
𥸥	𠃌 米 
𥸧	米 丁 
𥸪	米 人 
𥸬	米 ⻏ 
𥸲	米 弓 
𥸴	米 丏 
𥸵	米 屯 
𥹁	米 乍 
𥹂	米 丕 
𥹄	⺊ 冖 釆 
𥹆	米 尼 
𥹇	米 弁 
𥹈	米 它 
𥹊	米 四 
𥹋	米 台 
𥹌	加 米 
𥹍	米 宁 
𥹓	米 去 
𥹔	米 犮 
𥹖	米 皮 
𥹚	米 亘 
𥹛	九 攵 米 
𥹜	米 交 
𥹠	米 多 
𥹩	米 寺 
𥹬	米 考 
𥹱	米 幼 
𥹲	米 兌 
𥹳	米 完 
𥹴	米 步 
𥹵	米 束 
𥹶	米 肖 
𥹷	米 㐬 
𥹸	米 孛 
𥹻	米 弃 
𥺅	米 寿 
𥺉	米 豆 
𥺊	米 告 
𥺙	米 夌 
𥺚	米 析 
𥺜	泥 米 
𥺝	米 周 
𥺞	米 育 
𥺡	米 陁 
𥺣	米 丑 丑 
𥺴	米 念 
𥺵	米 殳 月 
𥺷	米 屈 
𥻄	米 皆 
𥻆	𠧪 米 
𥻇	米 咸 
𥻉	米 曷 
𥻋	粦 八 
𥻍	米 𣆊 
𥻑	米 禺 
𥻒	𥹫 夕 
𥻝	米 重 
𥻞	米 客 
𥻤	米 芻 
𥻥	米 鬲 
𥻦	殺 米 
𥻧	米 兼 
𥻨	米 索 
𥻩	米 冥 
𥻫	𥸨 𥸨 
𥻬	米 隻 
𥻮	米 宰 
𥻴	夏 米 
𥻵	米 時 
𥻾	𥹫 及 
𥻿	米 离 
𥼀	米 戚 
𥼂	米 崔 
𥼃	米 責 
𥼅	𭆆 米 
𥼋	𠩺 米 
𥼓	米 𤰈 
𥼘	米 幾 
𥼚	米 焦 
𥼛	毳 米 
𥼜	米 菐 
𥼝	米 禽 
𥼞	米 非 灬 
𥼟	米 丿 ⺫ 乑 
𥼩	米 貴 
𥼪	米 㫺 
𥼫	𥹫 多 
𥼬	𥹫 米 
𥼭	米 粦 
𥼮	米 糸 米 
𥼶	米 睪 
𥼸	米 零 
𥼺	米 辠 
𥼻	米 資 
𥼼	米 敷 
𥽁	米 飲 
𥽈	米 豊 
𥽐	臣 侖 米 
𥽒	米 丗 丗 木 
𥽗	米 樂 
𥽟	米 憂 
𥽥	米 霍 
𥽧	竹 㚔 籴 
𥽬	米 襄 
𥽰	米 糜 
𥽳	𦥯 咠 
𥽶	米 覈 
𥽸	米 䜌 
𥽹	粟 喿 
𥾂	米 靈 
𥾅	糹 十 
𥾇	糹 了 
𥾊	糹 几 
𥾋	糹 乃 
𥾌	糹 孑 
𥾍	糹 干 
𥾐	糹 弋 
𥾓	糹 个 
𥾕	糹 兀 
𥾚	糹 冗 
𥾛	糹 切 
𥾝	糹 丏 
𥾡	糹 勻 
𥾣	糹 支 
𥾤	糹 又 又 
𥾧	糹 巿 
𥾨	糹 气 
𥾮	糹 戈 
𥾯	糹 弔 
𥾹	糹 手 
𥾼	糹 亠 了 
𥿃	加 糸 
𥿄	糹 氐 
𥿅	矢 糸 
𥿆	糹 司 
𥿇	糹 疋 
𥿉	糹 末 
𥿊	糹 斥 
𥿋	糹 弁 
𥿍	糹 古 
𥿎	糹 夗 
𥿑	糹 𠕁 
𥿚	土 刀 糸 
𥿜	糹 𠂉 小 
𥿝	代 糸 
𥿞	糹 他 
𥿦	糹 舟 
𥿧	糹 向 
𥿨	糹 名 
𥿩	次 糸 
𥿪	糹 㠩 
𥿫	糹 多 
𥿭	糹 𠫤 
𥿮	糹 式 
𥿯	糹 𠂢 
𥿰	糹 朶 
𥿴	糹 𣎽 
𥿵	糹 厶 午 
𥿷	糹 刃 刃 
𥿹	糹 亦 
𥿺	糸 妄 
𦀇	糹 𡉊 
𦀓	糹 辛 
𦀔	糹 甹 
𦀕	糹 邑 
𦀖	糹 劫 
𦀘	糹 坒 
𦀛	糹 沙 
𦀜	糹 壯 
𦀝	糹 囧 
𦀠	糹 㐬 
𦀡	糹 吾 
𦀣	丿 幺 幺 糸 
𦀨	糹 那 
𦀸	糹 皃 
𦁄	糹 辰 
𦁆	糹 叀 
𦁇	糹 𫝹 
𦁈	糹 空 
𦁉	糹 妾 
𦁊	糹 卦 
𦁍	糹 㸒 
𦁎	糹 昔 
𦁏	糹 奄 
𦁐	糹 屈 
𦁕	糹 忽 
𦁖	糹 宙 
𦁗	糹 歩 
𦁙	糹 兖 
𦁛	糹 𣏋 
𦁜	糹 𣏼 
𦁟	糹 𮝾 
𦁲	糹 虎 
𦁳	糹 季 
𦁶	糹 庚 
𦁷	紡 厷 
𦂀	糸 度 
𦂄	糸 皆 
𦂅	糸 枲 
𦂆	糸 廻 
𦂇	糸 䖍 
𦂈	糸 胄 
𦂉	糸 臿 
𦂊	糸 㚆 
𦂋	糸 尼 木 
𦂌	封 糸 
𦂍	糸 若 
𦂐	糸 矦 
𦂑	糸 夕 吉 
𦂒	糸 前 
𦂔	糸 勉 
𦂕	糸 禺 
𦂖	糸 𢍉 
𦂗	削 糸 
𦂠	糸 亰 
𦂡	糸 羍 
𦂶	糸 竒 
𦃄	糸 匪 
𦃊	糸 栗 
𦃋	糸 𣬉 
𦃒	糸 祟 
𦃓	糸 留 
𦃔	糸 鬲 
𦃕	糸 㤻 
𦃖	糸 剡 
𦃗	朔 糸 
𦃘	糸 屖 
𦃙	日 共 糸 
𦃝	糸 䒺 
𦃡	糸 夂 糸 
𦃢	厂 緊 
𦃤	務 糸 
𦃽	糸 邕 
𦄂	糸 帶 
𦄋	糸 鳥 
𦄌	糸 埶 
𦄍	糸 爽 
𦄏	糸 梢 
𦄐	鹿 糸 
𦄑	糸 彗 
𦄔	糸 窒 
𦄜	糸 㓞 示 
𦄧	糸 曹 
𦄯	專 糸 
𦄰	糸 國 
𦄼	糸 須 
𦄽	糸 渠 
𦄿	糸 黑 
𦅀	糸 尋 
𦅃	糸 焦 
𦅄	糸 𰕎 
𦅆	糸 奠 
𦅇	糸 喪 
𦅈	糸 彭 
𦅊	糸 㫺 
𦅋	糸 㚘 心 
𦅏	糸 𦓔 
𦅑	糸 循 
𦅔	黑 糸 
𦅗	糸 羡 
𦅨	須 糸 
𦅵	糸 歲 
𦅶	糸 葛 
𦅷	糸 著 
𦅸	䍃 ⺊ 系 
𦅺	糸 戾 皿 
𦅻	素 爰 
𦅼	糸 詹 
𦅽	𠂹 一 八 糸 
𦅾	敫 糸 
𦅿	糸 暈 
𦆀	糸 羨 
𦆁	𣎆 糸 
𦆄	糸 瑟 
𦆆	糸 廉 
𦆈	糸 雋 
𦆌	糸 亠 叕 大 
𦆘	糸 𤾇 
𦆞	糸 舞 
𦆟	糸 蒙 
𦆡	糸 厂 㲜 
𦆤	糸 𤕨 
𦆦	糸 疑 
𦆲	糸 廖 
𦆸	糸 遙 
𦆻	糸 巤 
𦆾	素 率 
𦇀	糸 慧 
𦇁	糸 敷 
𦇄	糸 畾 
𦇎	糸 蔥 
𦇔	糸 歷 
𦇖	糸 頻 
𦇘	糸 麇 
𦇙	糸 舉 
𦇛	糸 賴 
𦇧	糸 罽 
𦇬	糸 龠 
𦇭	糸 辶 白 穴 口 
𦇱	糸 叢 
𦇲	糸 𤕨 土 
𦇸	糸 覈 
𦈃	糸 囊 
𦈅	糸 畾 宜 
𦈈	纟 斥 
𦈉	纟 军 
𦈋	纟 酉 
𦈌	纟 束 
𦈎	纟 单 
𦈏	纟 氏 日 
𦈐	纟 连 
𦈑	纟 垔 
𦈒	纟 枲 
𦈓	纟 畏 
𦈔	纟 骨 
𦈕	纟 俞 
𦈖	纟 𦐇 
𦈗	纟 匪 
𦈘	纟 荅 
𦈙	纟 聂 
𦈚	纟 戚 
𦈛	纟 最 
𦈜	纟 集 
𦈝	纟 巽 
𦈞	纟 辟 
𦈟	纟 禁 
𦈠	纟 㥯 
𦈣	缶 亏 
𦈤	缶 丿 𠀁 
𦈦	缶 火 
𦈧	缶 不 
𦈨	缶 开 
𦈩	工 几 缶 
𦈬	此 缶 
𦈰	缶 圭 
𦈲	缶 亥 
𦈵	缶 巠 
𦈶	缶 否 
𦈷	缶 㐬 
𦈸	缶 或 
𦈺	缶 周 
𦈻	缶 戔 
𦉂	缶 重 
𦉆	缶 查 
𦉈	𠂹 缶 
𦉉	缶 留 
𦉎	缶 崔 
𦉐	缶 瓶 
𦉙	缶 廌 
𦉝	𦥑 同 缶 
𦉟	缶 齒 
𦉢	缶 霝 
𦉥	雝 缶 
𦉧	獻 缶 
𦉪	冂 儿 
𦉬	罒 丁 
𦉹	罒 勺 
𦊁	罒 比 
𦊂	罒 互 
𦊃	罒 今 
𦊊	罒 天 
𦊋	⺱ 木 
𦊌	𠕀 月 
𦊍	网 互 
𦊎	罒 示 
𦊐	罒 巨 
𦊑	罒 卯 
𦊓	罒 令 
𦊗	𠕀 夗 
𦊘	网 禾 
𦊦	𠔿 冖 巳 
𦊧	㘝 木 
𦊪	网 合 
𦊫	罒 光 
𦊬	⺱ 衣 
𦊱	𠔿 圭 
𦊹	𠔿 各 
𦊻	㘝 ⺄ 木 
𦊼	罒 呂 
𦊽	罒 豕 
𦊾	罒 否 
𦊿	罒 丣 
𦋅	罒 勹 圭 
𦋆	罒 孤 
𦋈	罒 戔 
𦋉	罒 服 
𦋋	罒 㲎 
𦋓	罒 卷 
𦋔	𠔿 录 
𦋞	罒 削 
𦋡	罒 某 
𦋢	𠕀 俞 
𦋣	罒 凾 
𦋩	𠔿 約 
𦋪	𦉴 延 
𦋯	罒 㼌 
𦋰	罒 兼 
𦋳	罒 罡 
𦋿	罒 曹 
𦌀	罒 參 
𦌁	罒 婁 
𦌉	罒 敕 
𦌊	罒 欶 
𦌋	罒 𫝀 𫝀 八 土 
𦌒	罒 尞 
𦌔	罒 巽 
𦌕	罒 路 
𦌗	罒 欻 
𦌚	罒 奠 
𦌟	罒 祿 
𦌡	罒 黽 
𦌢	罒 綈 
𦌦	罒 京 瓜 
𦌪	罒 緂 
𦌬	罒 舞 
𦌭	罒 馽 
𦌰	罒 綺 
𦌷	罒 賣 
𦌸	罒 𩵢 
𦌺	君 睘 
𦌾	罒 繯 
𦌿	罒 麗 
𦍀	罒 難 
𦍁	罒 繴 
𦍄	罒 昍 𢉖 
𦍅	⺱ 䠣 
𦍌	䒑 土 
𦍏	羊 人 
𦍒	土 羊 
𦍕	犭 羊 
𦍚	卝 土 火 
𦍦	羊 出 
𦍧	此 羊 
𦍩	羊 古 
𦍪	羊 㐱 
𦍭	羊 瓦 
𦍱	羊 犮 
𦍲	歺 羊 
𦍴	羊 尔 
𦍵	羊 句 
𦍷	羊 皮 
𦍸	𦍌 𠂇 寸 
𦍹	多 羊 
𦍺	羊 字 
𦍼	羊 亘 
𦎄	羊 死 
𦎇	羊 豕 
𦎈	羊 角 
𦎊	羊 㒵 
𦎌	羊 含 
𦎎	羊 甫 
𦎏	羊 束 
𦎐	羊 里 
𦎒	身 羊 
𦎓	羊 㐬 
𦎘	羊 或 
𦎚	入 羊 九 手 
𦎜	羊 豖 
𦎝	目 羍 
𦎞	羊 乳 
𦎢	羊 亟 
𦎣	羊 垔 
𦎦	敄 羊 
𦎧	亯 ⺸ 
𦎨	眉 羊 
𦎫	亯 羊 
𦎭	羊 复 
𦎮	羊 𫨻 
𦎯	𣪊 羊 
𦎰	羊 骨 
𦎱	羊 害 
𦎵	羊 能 
𦎷	執 羊 
𦎸	羊 責 
𦎹	羊 婁 
𦎼	殻 羊 
𦏀	羊 覔 
𦏁	𦍌 禾 戈 乃 
𦏂	羊 ⺈ ⺼ 几 口 
𦏅	羊 厥 
𦏆	羊 童 
𦏇	羑 羑 
𦏔	羊 喜 
𦏕	羊 蜀 
𦏗	𦥯 羔 
𦏛	羊 喿 
𦏜	與 羊 
𦏢	羊 賣 
𦏤	羊 𠾳 
𦏥	羊 而 口 口 大 
𦏦	羊 𭗐 
𦏧	𦎫 𠃨 
𦏨	羊 褱 
𦏳	羽 ⺃ 
𦏷	大 羽 
𦏸	羽 也 
𦏹	羽 干 
𦏺	工 羽 
𦏻	羽 亏 
𦏿	山 羽 
𦐁	也 羽 
𦐄	亢 羽 
𦐅	羽 及 
𦐆	羽 巴 
𦐇	日 羽 
𦐈	分 羽 
𦐉	㞢 羽 
𦐌	羽 厷 
𦐍	羽 夬 
𦐖	羽 只 
𦐛	句 羽 
𦐠	羽 氐 
𦐡	弗 羽 
𦐣	羽 朱 
𦐤	亥 羽 
𦐦	羽 各 
𦐧	羽 幵 
𦐨	朱 羽 
𦐰	圭 羽 
𦐳	比 冖 羽 
𦐸	否 羽 
𦐹	羽 辛 
𦐺	肖 羽 
𦐽	肙 羽 
𦐾	束 羽 
𦐿	羽 廷 
𦑀	羽 皃 
𦑇	沓 羽 
𦑈	羽 疌 
𦑋	卒 羽 
𦑌	羽 或 
𦑍	或 羽 
𦑎	羽 奄 
𦑏	羽 隹 
𦑑	忄 左 羽 
𦑘	咸 羽 
𦑙	彖 羽 
𦑚	羽 矦 
𦑛	羽 爰 
𦑜	革 羽 
𦑝	重 羽 
𦑞	羽 畐 
𦑟	羽 訇 
𦑠	羽 皇 
𦑡	是 羽 
𦑣	羽 臿 
𦑭	畐 羽 
𦑯	羽 疌 
𦑱	隺 羽 
𦑲	𥄳 羽 
𦑵	尃 羽 
𦑶	羽 𥄳 
𦑸	彳 氵 攵 羽 
𦑹	臼 日 羽 
𦑺	差 羽 
𦑻	韋 羽 
𦑼	羽 𦐇 
𦑾	羽 一 一 昍 
𦒁	羽 差 
𦒆	習 羽 
𦒈	合 𠕁 羽 
𦒋	倝 一 羽 
𦒎	羽 惠 
𦒏	羽 堯 
𦒐	羽 敝 
𦒑	矞 羽 
𦒜	亶 羽 
𦒝	感 羽 
𦒟	𦥭 羽 
𦒢	丿 睪 羽 
𦒦	羽 巤 
𦒧	霍 羽 
𦒰	泰 翟 
𦒴	老 山 
𦒶	耂 勿 
𦒺	老 口 又 
𦒻	耂 占 
𦓍	者 單 仁 
𦓎	而 刂 
𦓐	丿 𦉫 
𦓓	瓦 而 
𦓕	而 曳 
𦓖	而 忍 
𦓚	𠂋 巳 耑 
𦓝	巵 耑 
𦓢	而 而 而 犬 
𦓤	丿 未 
𦓥	耒 卩 
𦓧	耒 八 
𦓬	耒 平 
𦓯	耒 圭 
𦓰	耒 全 
𦓱	耒 各 
𦓳	耒 共 
𦓴	耒 肖 
𦓹	耒 來 
𦓺	耒 爭 
𦓻	耒 易 
𦓼	耒 昆 
𦓽	耒 委 
𦓾	耒 囷 
𦔂	耒 是 
𦔃	耒 英 
𦔄	耒 省 
𦔅	耒 突 
𦔆	耒 畐 
𦔈	耒 日 矢 
𦔉	耒 重 
𦔋	耒 茸 
𦔌	耒 耆 
𦔍	耒 尃 
